region,gender,age,education,race,uscitizen,maritalstatus,religion,religionattend,partyid,income,politics,hhsize,employstatus,extraversion,pextraversion,agreeableness,pagreeableness,conscientiousness,pconscientiousness,openness,popenness,neuroticism,pneuroticism,needforcognition,pneedforcognition,agency,pagency,communion,pcommunion,minimalism,pminimalism,bes,pbes,green,pgreen,crt2,pcrt2,fluid,pfluid,crystallized,pcrystallized,syllogism,psyllogism,actual,pactual,overconfidence,poverconfidence,overplacement,poverplacement,ultimatum_sender,pultimatum_sender,ultimatum_accepted,pultimatum_accepted,mentalaccounting,pmentalaccounting,socialdesirability,psocialdesirability,conscientiousness_w2,pconscientiousness_w2,anxiety,panxiety,hi,phi,hc,phc,vi,pvi,vc,pvc,finliteracy,pfinliteracy,numeracy,pnumeracy,deductive,pdeductive,forwardflow,pforwardflow,discount,pdiscount,presentbias,ppresentbias,riskaversion,priskaversion,lossaversion,plossaversion,trustgame_sender,ptrustgame_sender,trustgame_receiver,ptrustgame_receiver,rfs,prfs,sttw,psttw,depression,pdepression,cnfu,pcnfu,selfmonitor,pselfmonitor,scc,pscc,needforclosure,pneedforclosure,maximization,pmaximization,wason,pwason,dictator_sender,pdictator_sender
Midwest,Female,50-64,High school graduate,White,Yes,Married,Nothing in particular,Seldom,Republican,"$50,000-$75,000",Conservative,2,Self-employed,3.875,87,4.778,92,4.556,77,4.6,92,2.125,32,3.833,69,5.333,65,7.667,74,2.333,11,4,58,3.5,46,1,38,1,55,5,37,3,3,10,12,25,97,5,72,100,100,100,100,100,100,0,13,8,100,4,38,4.75,82,3.5,32,3,65,3.25,29,1,2,6,61,4,100,0.803,32,None,None,None,None,None,None,None,None,60,77,67,97,5.9,95,15,71,8,49,3.75,92,3.308,91,2.917,28,3.933,75,3.5,73,2,65,60,97
South,Male,50-64,"Some college, no degree",White,Yes,Married,Nothing in particular,Never,Independent,"$100,000 or more",Moderate,4,Retired,1.875,18,3.111,14,3.778,41,2.3,4,3,64,2.222,10,4.25,34,7.083,54,3.917,72,3.25,15,3.5,46,2,59,0,26,3,17,6,49,11,17,-1,5,-10,8,40,65,100,100,75,70,4,39,8,100,19,84,4.5,67,3.75,45,2.25,35,3.5,40,7,100,3,20,4,100,0.82,47,16299.836,84,0.404,99,0.306,79,None,None,60,77,93,99,4.9,53,7,10,7,45,1.75,25,2.692,46,2.917,28,3.667,59,3,45,3,96,40,81
Midwest,Male,30-49,"Some college, no degree",White,Yes,Living with a partner,Roman Catholic,Seldom,Republican,"$50,000-$75,000",Conservative,3,Full-time employment,3.75,83,4.111,62,4.556,77,4.6,92,2.875,60,3.222,41,6.583,87,7.167,56,4.25,86,3.75,41,4.333,81,1,38,0,26,1,4,3,3,5,1,30,99,15,96,40,65,100,100,75,70,5,48,6,36,24,91,4.75,82,4.25,72,2.25,35,4.25,74,4,31,2,11,4,100,0.795,27,13734911966.22,94,0.153,88,0.611,100,None,None,0,13,42,46,5.6,87,20,94,14,69,2.333,47,3.308,91,3.5,45,3.867,71,2.667,26,1,7,40,81
West,Female,18-29,College graduate/some postgrad,Asian,Yes,Never been married,Nothing in particular,Never,Democrat,"$75,000-$100,000",Liberal,2,Full-time employment,3.375,71,4.556,84,4.333,67,4.1,69,1.625,18,3.944,74,6.75,88,6.75,41,1.75,2,4.15,67,4.5,86,4,100,1,55,1,4,9,82,15,42,7,23,2,49,40,65,100,100,75,70,10,88,7,53,2,25,4.5,67,4.5,83,2.75,55,3.75,50,5,57,5,47,3,15,0.752,9,367.312,67,0.128,85,0.078,51,0.546,25,40,61,41,43,5.2,71,12,57,0,9,2.167,41,3.231,87,3.917,58,2.333,5,2.667,26,2,65,60,97
West,Female,30-49,College graduate/some postgrad,Asian,Yes,Never been married,Atheist,Never,Democrat,"$100,000 or more",Liberal,4,Full-time employment,2.375,33,4.333,73,4.444,72,4.5,87,2.25,37,4.444,90,6.417,85,6.417,31,2.75,21,4.4,80,4.667,90,2,59,4,100,9,100,9,82,24,94,16,73,10,90,40,65,66.667,33,75,70,0,13,8,100,1,19,4.75,82,3.75,45,4,93,3.25,29,4,31,8,100,4,100,0.79,24,None,None,None,None,None,None,None,None,40,61,45,66,4.8,47,8,18,3,27,2.583,57,2.692,46,4.25,69,3.667,59,4.167,95,2,65,40,81
Midwest,Male,50-64,College graduate/some postgrad,White,Yes,Divorced,Agnostic,Never,Democrat,"Less than $30,000",Liberal,1,Retired,2.75,47,3,11,3.333,24,4.9,99,4.75,99,3.944,74,3.75,19,5.333,8,1.583,1,3.5,26,3.333,40,3,88,3,88,8,82,9,82,23,90,11,43,16,97,40,65,66.667,33,25,9,0,13,6,36,2,25,5,100,4,60,3.5,81,3.75,50,3,15,8,100,4,100,0.758,11,None,None,None,None,None,None,None,None,0,13,45,66,5.3,76,15,71,6,41,1,4,2.538,33,4.833,91,4,79,3.333,64,3,96,40,81
West,Female,18-29,College graduate/some postgrad,Hispanic,Yes,Never been married,Roman Catholic,Seldom,Democrat,"$75,000-$100,000",Liberal,3,Unemployed,1.5,10,3.778,44,3.889,47,2.4,5,4.25,94,1.556,3,4.833,52,6.083,22,3.833,68,3.95,55,1.5,5,3,88,3,88,5,37,5,32,16,49,4,14,-10,8,60,93,83.333,70,75,70,6,58,7,53,18,83,5,100,4.5,83,2,25,3.25,29,5,57,7,80,4,100,0.781,20,0.31,42,-0.008,19,0.1,54,None,None,60,77,19,11,4.5,29,9,29,26,90,1.333,13,2.538,33,2.833,26,4.067,82,3.833,87,1,7,0,11
Midwest,Female,18-29,College graduate/some postgrad,White,Yes,Never been married,Protestant,Once a week,Independent,"$100,000 or more",Conservative,4,Unemployed,3.125,62,3,11,4,53,3.3,26,3.625,79,3.722,64,7.75,96,5.833,16,4.333,88,3.05,10,3.667,52,3,88,0,26,5,37,3,3,11,17,19,87,10,90,20,10,50,10,75,70,0,13,6,36,33,97,4.5,67,3.5,32,4,93,2.75,15,6,91,7,80,4,100,0.847,74,0,40,0,52,None,None,None,None,40,61,9,8,4.9,53,9,29,40,99,2.75,64,3.615,98,2.083,8,3.667,59,4.833,100,2,65,0,11
Northeast,Female,18-29,College graduate/some postgrad,Asian,Yes,Never been married,Agnostic,Seldom,Democrat,"$30,000-$50,000",Very liberal,3,Self-employed,2,22,3.556,32,2.778,9,3.1,18,4.375,95,3,30,4.167,32,6.5,34,3.417,48,4.2,70,3.667,52,3,88,1,55,6,49,11,100,21,80,-1,5,-1,30,60,93,66.667,33,100,100,1,18,4,19,20,86,3,7,3.75,45,3,65,3.75,50,6,91,7,80,4,100,0.88,94,0,40,0,52,0,36,0.888,55,100,100,46,69,4.2,15,10,39,32,95,1.833,28,2.385,22,1.917,5,3.667,59,2.833,34,3,96,60,97
Northeast,Female,30-49,"Some college, no degree",White,Yes,Married,Protestant,More than once a week,Independent,"$100,000 or more",Conservative,More than 4,Self-employed,3.875,87,4.111,62,3.222,21,3.4,31,3.75,83,3.333,46,5.417,67,5.417,10,4,77,4.1,64,2.5,20,3,88,2,71,4,27,9,82,18,63,7,23,3,55,40,65,66.667,33,25,9,3,31,8,100,7,52,3,7,3.75,45,2,25,4,64,5,57,8,100,4,100,0.818,46,0,40,0,52,-0.067,19,0.898,59,80,81,64,95,4.4,24,18,86,11,61,2.083,38,2.769,52,2.083,8,4.133,85,3,45,2,65,40,81
South,Male,65+,College graduate/some postgrad,White,Yes,Married,Protestant,A few times a year,Republican,"$50,000-$75,000",Very conservative,3,Full-time employment,3.75,83,3.667,38,3.889,47,3.9,59,3.75,83,3.889,72,4.25,34,8,85,4,77,3.85,48,4,68,1,38,0,26,4,27,5,32,10,12,7,23,-18,2,40,65,100,100,75,70,2,23,6,36,13,73,4,40,4,60,2.25,35,4.75,93,5,57,3,20,4,100,0.788,23,0.31,42,0.024,60,-0.089,17,None,None,40,61,33,29,4.7,41,9,29,32,95,3.167,78,2.692,46,2.167,10,4.133,85,3.333,64,2,65,40,81
West,Female,18-29,College graduate/some postgrad,Asian,Yes,Never been married,Atheist,Never,Democrat,"$30,000-$50,000",Liberal,More than 4,Unemployed,3,57,3.667,38,2.778,9,3.7,46,3.25,71,2.833,24,2.833,3,6.583,36,2.333,11,3.5,26,2.167,14,1,38,4,100,4,27,6,49,15,42,0,7,5,72,60,93,83.333,70,100,100,4,39,1,4,11,67,4.5,67,3.25,22,1.75,17,2.75,15,6,91,6,61,4,100,0.87,90,0,40,0,52,-0.044,23,0.697,33,100,100,31,22,3.6,2,21,97,4,32,1.167,8,2.077,8,4.083,63,3,21,2.167,7,2,65,40,81
West,Female,30-49,College graduate/some postgrad,White,Yes,Married,Agnostic,Never,Democrat,"$50,000-$75,000",Very liberal,More than 4,Part-time employment,2.5,37,3.444,27,3.111,17,3.6,41,3.75,83,3.667,61,4,27,7.083,54,2.417,12,4,58,4,68,4,100,2,71,6,49,8,71,20,74,0,7,5,72,60,93,100,100,75,70,8,74,2,8,9,60,4.5,67,3.75,45,2,25,5,100,3,15,6,61,4,100,0.828,56,4.429,48,0.042,66,0.178,66,None,None,60,77,55,89,4.1,11,12,57,21,84,2.667,61,2.692,46,2.167,10,3.933,75,3.833,87,2,65,60,97
Midwest,Female,30-49,"Some college, no degree",Black,Yes,Never been married,Agnostic,Never,Independent,"Less than $30,000",Liberal,1,Part-time employment,1.75,15,3.444,27,3.111,17,4,64,3.875,86,4.722,96,3.667,17,6.333,29,3.833,68,3.7,38,3.333,40,3,88,4,100,7,64,9,82,23,90,2,9,4,60,60,93,66.667,33,100,100,8,74,4,19,11,67,4.25,52,3,14,1.5,11,3,22,6,91,7,80,4,100,0.795,27,-0.333,3,0.056,71,0,36,0.888,55,40,61,36,35,4.7,41,11,48,16,74,2.333,47,2.231,14,3.167,36,3.067,24,3.5,73,2,65,60,97
South,Male,18-29,"Some college, no degree",White,Yes,Living with a partner,Atheist,Seldom,Independent,"$30,000-$50,000",Very liberal,2,Part-time employment,3.75,83,3.222,18,3.667,37,4.3,78,3.5,77,4.278,86,4.5,42,7.333,62,2.5,14,4.5,86,3.833,59,3,88,1,55,5,37,10,92,19,69,16,73,15,96,40,65,100,100,75,70,1,18,8,100,15,77,5,100,3,14,3.5,81,1.75,3,7,100,8,100,4,100,0.84,68,0,40,0,52,-0.017,27,0.888,55,100,100,28,18,4.5,29,21,97,28,92,3.75,92,3.385,93,1.833,4,3.8,67,2.667,26,3,96,40,81
West,Female,18-29,High school graduate,White,Yes,Divorced,Nothing in particular,Never,Democrat,"$50,000-$75,000",Very liberal,3,Retired,2.625,42,2.222,2,2.667,7,3.5,36,4.625,98,2.556,17,5.083,59,6.333,29,2.917,26,4.55,88,2.5,20,2,59,0,26,4,27,5,32,11,17,25,97,-2,29,40,65,66.667,33,75,70,1,18,5,26,43,99,4,40,4.5,83,2,25,4,64,7,100,4,33,4,100,0.841,69,0,40,0,52,-0.128,13,None,None,40,61,44,50,5.1,65,22,99,48,100,2.333,47,2.538,33,1.167,0,4.067,82,3,45,1,7,40,81
Northeast,Male,30-49,College graduate/some postgrad,White,Yes,Married,Roman Catholic,Once or twice a month,Republican,"$100,000 or more",Very conservative,2,Full-time employment,4,90,4.111,62,5,100,3,15,1.125,7,3.944,74,5.25,62,7.25,59,4.417,91,3.65,35,2.833,26,1,38,2,71,2,10,5,32,10,12,22,93,7,79,40,65,83.333,70,100,100,10,88,8,100,0,12,5,100,3.25,22,3.75,88,4.5,84,6,91,7,80,4,100,0.777,18,0,40,0,52,0.05,43,0.897,56,0,13,33,29,5,60,9,29,1,15,1.417,16,3.308,91,5,100,4.2,87,3.667,81,2,65,40,81
Northeast,Female,30-49,College graduate/some postgrad,White,Yes,Married,Protestant,A few times a year,Independent,"$75,000-$100,000",Moderate,3,Home-maker,1.375,7,4.778,92,3.222,21,3.7,46,3.25,71,3.833,69,4.417,40,7.667,74,3.75,64,4.6,90,4,68,3,88,3,88,7,64,11,100,24,94,10,38,4,60,60,93,66.667,33,50,32,8,74,8,100,6,47,3.5,17,4,60,3.75,88,4.5,84,7,100,7,80,4,100,0.809,37,4.826,52,0.035,64,-0.178,10,None,None,0,13,28,18,4.8,47,16,75,12,64,2.833,66,2.538,33,3.25,38,3.8,67,4,92,3,96,40,81
South,Female,30-49,"Some college, no degree",White,Yes,Married,Roman Catholic,Never,Democrat,"$100,000 or more",Liberal,2,Full-time employment,1.625,12,4.444,78,4.444,72,1.9,2,1.25,9,1.111,1,3.833,21,6.25,26,2.75,21,3.5,26,1,2,2,59,0,26,8,82,3,3,13,29,17,78,-5,21,100,100,83.333,70,50,32,0,13,8,100,5,42,3.5,17,3.5,32,1.25,6,2.75,15,1,2,3,20,3,15,0.802,32,None,None,None,None,None,None,None,None,0,13,0,7,4.7,41,20,94,3,27,1,4,3.231,87,4.083,63,3.333,37,1.5,1,3,96,40,81
South,Female,18-29,High school graduate,Black,Yes,Never been married,Other,Never,Independent,"$50,000-$75,000",Moderate,2,Self-employed,2,22,4.111,62,3.889,47,4.6,92,3.125,68,3.111,35,7.75,96,6.167,24,2.917,26,3.7,38,1.167,3,3,88,2,71,8,82,11,100,24,94,11,43,10,90,0,6,83.333,70,25,9,3,31,8,100,9,60,4.25,52,3.25,22,4.75,99,4,64,4,31,6,61,4,100,0.832,60,0,40,0.131,86,0.233,72,None,None,0,13,0,7,6.1,97,16,75,10,57,3.833,94,3.231,87,2.5,17,3.8,67,4.167,95,2,65,0,11
West,Female,18-29,"Some college, no degree",Black,Yes,Living with a partner,Other,Once a week,Independent,"$50,000-$75,000",Moderate,More than 4,Home-maker,3.25,67,3.444,27,4,53,4.1,69,3.75,83,3.722,64,3.833,21,6,19,4,77,4.05,61,3.333,40,0,12,0,26,2,10,8,71,10,12,19,87,-6,13,40,65,83.333,70,50,32,5,48,5,26,14,75,4.5,67,3,14,3.5,81,4.5,84,4,31,2,11,4,100,0.821,48,479262623.17,93,-0.076,7,-0.039,23,None,None,40,61,33,29,5.9,95,17,80,31,94,4,95,2.462,27,3.417,42,4,79,4,92,2,65,40,81
South,Female,50-64,"Some college, no degree",White,Yes,Married,Protestant,A few times a year,Republican,"$50,000-$75,000",Very conservative,3,Full-time employment,1,1,2.556,4,4.889,92,1,0,4.5,97,1.167,1,2.417,1,8,85,5,100,3.85,48,4.167,74,1,38,0,26,2,10,4,11,7,2,16,73,-8,10,40,65,50,10,50,32,0,13,8,100,19,84,5,100,3,14,3.75,88,4,64,5,57,3,20,2,6,0.601,0,4.826,52,0.097,80,-0.667,0,None,None,40,61,37,37,4,9,10,39,31,94,2.667,61,2.615,39,4.167,66,4.733,99,4.333,98,1,7,40,81
South,Female,30-49,College graduate/some postgrad,Hispanic,Yes,Married,Roman Catholic,Seldom,Republican,"$30,000-$50,000",Very conservative,More than 4,Full-time employment,1.5,10,4.556,84,4.667,82,2.5,5,3,64,2.944,27,3.083,6,7.667,74,4.75,97,4.7,95,3.667,52,4,100,1,55,5,37,7,61,17,56,13,56,5,72,40,65,83.333,70,75,70,9,81,6,36,4,38,4.5,67,5,100,3.5,81,4.75,93,6,91,7,80,4,100,0.835,64,26.588,58,0.052,68,0.111,56,None,None,60,77,48,73,4.7,41,4,1,17,77,1.417,16,2.923,64,2.583,20,4.6,97,2.5,18,2,65,40,81
South,Female,65+,Associate's degree,White,Yes,Divorced,Jewish,Once a week,Democrat,"Less than $30,000",Very liberal,1,Retired,1.625,12,4.778,92,2.889,12,3.7,46,4.375,95,3.944,74,2.917,4,7.5,68,3.667,60,4.3,76,4.667,90,3,88,0,26,7,64,6,49,16,49,14,62,-5,21,60,93,66.667,33,50,32,8,74,2,8,16,79,4.25,52,3.5,32,1,3,4,64,5,57,5,47,4,100,0.787,23,0,40,0,52,0.25,75,None,None,100,100,48,73,4.6,35,9,29,22,85,1.917,31,2.154,10,4.833,91,3.733,63,2.333,12,3,96,40,81
Midwest,Female,30-49,"Some college, no degree",White,Yes,Married,Nothing in particular,Seldom,Independent,"$75,000-$100,000",Moderate,More than 4,Home-maker,2.5,37,3.778,44,3.444,28,4.3,78,4.125,91,3,30,4.833,52,6,19,3.417,48,4.7,95,3.833,59,4,100,2,71,6,49,8,71,20,74,10,38,-5,21,60,93,83.333,70,100,100,3,31,7,53,27,93,4.5,67,4,60,3.5,81,3.75,50,6,91,7,80,4,100,0.845,73,0,40,0,52,0,36,1.462,88,100,100,28,18,5.2,71,18,86,17,77,3.583,89,2.615,39,3.083,33,3.533,50,4.5,99,2,65,40,81
Midwest,Female,50-64,Postgraduate,White,Yes,Married,Roman Catholic,Once a week,Republican,"$100,000 or more",Very conservative,More than 4,Full-time employment,3.875,87,5,100,5,100,3.8,53,1.375,11,3.833,69,8.333,98,8.5,93,4.75,97,4.5,86,4.833,93,1,38,1,55,7,64,7,61,16,49,9,31,-10,8,40,65,83.333,70,50,32,0,13,8,100,3,32,4.75,82,4.75,91,3.5,81,5,100,2,5,6,61,1,2,0.83,58,None,None,None,None,None,None,None,None,40,61,36,35,5.4,81,9,29,0,9,3.417,85,3.538,97,4.417,76,4.467,95,4.333,98,2,65,40,81
Northeast,Female,30-49,High school graduate,Hispanic,Yes,Never been married,Nothing in particular,Never,Democrat,"Less than $30,000",Very liberal,2,Unemployed,1.25,5,2.778,7,3.333,24,3.5,36,5,100,1.889,5,2.667,2,5.917,18,3.5,52,4.7,95,2.833,26,3,88,4,100,8,82,5,32,20,74,10,38,5,72,60,93,83.333,70,75,70,1,18,5,26,10,64,4.5,67,2.25,3,2.75,55,1.25,1,6,91,8,100,4,100,0.826,53,695.178,73,-0.117,4,0.611,100,0.066,1,0,13,45,66,4.4,24,24,100,40,99,1.417,16,2.846,58,3.917,58,3.667,59,4,92,2,65,40,81
South,Female,50-64,College graduate/some postgrad,Other,Yes,Married,Other,Seldom,Independent,"$50,000-$75,000",Conservative,3,Self-employed,4.25,93,3.889,49,5,100,3.7,46,1.875,25,4.111,81,4.333,37,6.333,29,3.833,68,3,9,3.5,46,2,59,1,55,9,100,8,71,20,74,10,38,0,41,60,93,83.333,70,100,100,8,74,8,100,7,52,4.25,52,4.25,72,2.75,55,3.75,50,6,91,3,20,4,100,0.776,17,0.932,44,0.278,95,0,36,None,None,0,13,33,29,4.8,47,12,57,4,32,2.333,47,2.923,64,5,100,4.133,85,3.5,73,3,96,40,81
West,Female,50-64,College graduate/some postgrad,Asian,Yes,Married,Other,More than once a week,Republican,"$100,000 or more",Conservative,3,Retired,2,22,4.444,78,3.556,32,3,15,2.75,56,2.278,11,5.583,71,7.167,56,3.75,64,4.3,76,3.167,35,1,38,1,55,4,27,7,61,13,29,15,67,-7,11,40,65,100,100,75,70,10,88,7,53,12,70,3.5,17,4,60,3,65,4,64,5,57,2,11,3,15,0.759,11,-0.333,3,0.042,66,0.133,60,None,None,40,61,54,80,5,60,18,86,6,41,2.083,38,2.692,46,3.833,55,4.067,82,3.5,73,1,7,60,97
South,Female,30-49,College graduate/some postgrad,White,Yes,Never been married,Agnostic,Never,Independent,"$30,000-$50,000",Liberal,4,Full-time employment,2.375,33,2.889,9,3,15,4.1,69,4,89,3.056,32,5.417,67,4.333,2,3.667,60,4.05,61,4.5,86,1,38,4,100,8,82,6,49,19,69,14,62,3,55,40,65,66.667,33,100,100,2,23,7,53,8,56,3.75,25,2,2,3.5,81,3.5,40,5,57,4,33,4,100,0.815,43,0,40,0,52,0.067,50,0.888,55,40,61,45,66,3.9,7,5,2,13,67,2.417,50,2.846,58,3.667,50,3.267,34,3.167,55,3,96,40,81
South,Male,50-64,Associate's degree,Hispanic,Yes,Married,Roman Catholic,More than once a week,Democrat,"$50,000-$75,000",Moderate,4,Full-time employment,3.625,79,4.556,84,5,100,4.5,87,1.875,25,4.611,95,7.667,96,8.833,98,4.917,99,5,100,4.833,93,3,88,0,26,6,49,5,32,14,35,16,73,5,72,40,65,83.333,70,75,70,12,97,8,100,10,64,4.75,82,5,100,4,93,5,100,5,57,5,47,4,100,0.909,100,1.714,45,0,52,-0.061,20,None,None,40,61,45,66,6.2,98,12,57,4,32,2.5,54,3.077,76,4.917,93,4.533,96,3.667,81,2,65,40,81
West,Male,30-49,College graduate/some postgrad,White,Yes,Married,Roman Catholic,Once or twice a month,Republican,"$100,000 or more",Very conservative,3,Full-time employment,3.5,75,5,100,4.778,87,4.6,92,2.75,56,4.833,98,4.667,47,7.75,77,4.333,88,4.7,95,4.667,90,4,100,0,26,9,100,11,100,24,94,16,73,0,41,60,93,50,10,50,32,7,66,8,100,31,96,4.5,67,5,100,2.75,55,3.25,29,5,57,8,100,4,100,0.782,20,52.868,61,0.025,60,0.311,80,None,None,60,77,67,97,5.333,76,8,18,0,9,2.667,61,4.231,100,4.083,63,3.333,37,3.833,87,4,100,60,97
Northeast,Female,50-64,"Some college, no degree",Black,Yes,Divorced,Roman Catholic,Seldom,Democrat,"$30,000-$50,000",Very liberal,1,Part-time employment,3,57,3.222,18,3,15,4.1,69,3.75,83,3.833,69,6.667,87,8.417,92,4.667,95,4.45,84,4.5,86,1,38,1,55,3,17,3,3,8,4,16,73,-16,2,40,65,83.333,70,100,100,2,23,2,8,12,70,4.5,67,4,60,3,65,3.75,50,3,15,2,11,4,100,0.766,13,140.377,65,0.219,93,-0.378,2,None,None,20,25,27,15,5.3,76,15,71,16,74,4.083,96,3.538,97,2.083,8,4.2,87,4.167,95,2,65,20,18
Midwest,Female,18-29,College graduate/some postgrad,White,Yes,Married,Nothing in particular,Never,Democrat,"$50,000-$75,000",Very liberal,2,Home-maker,2.25,30,4.333,73,4.778,87,4.4,83,3.75,83,3.889,72,5.167,61,7.083,54,3.167,37,4.55,88,5,100,2,59,2,71,9,100,4,11,17,56,13,56,8,83,40,65,83.333,70,75,70,4,39,8,100,22,89,4.75,82,5,100,3.25,73,3.5,40,4,31,5,47,4,100,0.769,14,0,40,0,52,0,36,None,None,40,61,24,13,5.8,93,8,18,10,57,2.333,47,2.769,52,3.833,55,3.533,50,3.333,64,2,65,40,81
Midwest,Male,30-49,Postgraduate,White,Yes,Living with a partner,Agnostic,Never,Democrat,"$75,000-$100,000",Very liberal,2,Full-time employment,2,22,3.556,32,3.889,47,3.1,18,2.375,42,4.167,83,3.5,13,6.75,41,3.083,33,2.35,1,4.667,90,3,88,2,71,9,100,10,92,24,94,11,43,17,98,60,93,83.333,70,75,70,3,31,7,53,12,70,4.5,67,3.75,45,2,25,2.25,7,7,100,6,61,4,100,0.858,83,11.422,55,0.071,74,-0.128,13,None,None,40,61,41,43,4.3,19,8,18,10,57,2,33,3,70,3.25,38,3.2,30,4.333,98,2,65,40,81
South,Male,50-64,College graduate/some postgrad,Asian,Yes,Divorced,Protestant,Once a week,Republican,"Less than $30,000",Conservative,1,Self-employed,2.75,47,4.667,87,4.333,67,2.3,4,1.125,7,1.444,2,4.667,47,8.583,95,4.25,86,4,58,2,11,3,88,0,26,6,49,7,61,16,49,14,62,5,72,0,6,83.333,70,50,32,5,48,8,100,1,19,5,100,3.75,45,1.75,17,4.25,74,5,57,5,47,4,100,0.81,38,4.826,52,0.164,89,0,36,None,None,20,25,42,46,3.6,2,18,86,2,21,1.333,13,3,70,4.75,89,4.4,93,2.167,7,2,65,20,18
South,Male,65+,Associate's degree,White,Yes,Married,Other,Seldom,Independent,"$50,000-$75,000",Very conservative,3,Retired,4.25,93,4,56,4.667,82,4.3,78,1.75,21,2.889,25,3.5,13,7,51,4.167,82,3.4,21,2.667,22,3,88,1,55,8,82,10,92,22,85,3,11,0,41,20,10,83.333,70,75,70,4,39,8,100,6,47,4,40,4.25,72,2.25,35,4.5,84,5,57,7,80,4,100,0.758,11,1050761.088,89,-0.083,6,0.233,72,1.632,89,20,25,33,29,4.3,19,12,57,2,21,1.833,28,2.923,64,4.417,76,3.8,67,3.333,64,3,96,20,18
West,Female,30-49,Associate's degree,White,Yes,Married,Agnostic,Never,Republican,"$100,000 or more",Conservative,2,Full-time employment,1.75,15,3.889,49,4.889,92,3.9,59,3.5,77,4.444,90,4.083,30,7,51,4.333,88,4.3,76,4.333,81,1,38,2,71,8,82,6,49,17,56,19,87,1,43,60,93,100,100,75,70,4,39,8,100,30,95,4.5,67,4,60,2.75,55,3.5,40,6,91,7,80,4,100,0.802,31,0,40,0,52,0,36,None,None,100,100,87,98,5.1,65,12,57,32,95,2.583,57,2.692,46,3.25,38,3.867,71,3.333,64,2,65,60,97
Midwest,Male,30-49,Associate's degree,White,Yes,Married,Protestant,Once or twice a month,Independent,"$100,000 or more",Conservative,2,Full-time employment,2.5,37,4.556,84,4.444,72,3.6,41,2.375,42,4,77,4.083,30,8,85,4,77,3.65,35,4.333,81,3,88,0,26,3,17,6,49,12,23,16,73,3,55,60,93,100,100,75,70,6,58,8,100,20,86,4.25,52,4.75,91,2.5,45,5,100,6,91,7,80,4,100,0.834,61,0.932,44,0.3,96,0.089,52,0.879,49,60,77,33,29,4.3,19,9,29,19,81,1.25,11,2.154,10,2.833,26,3.933,75,3.333,64,3,96,40,81
South,Female,50-64,College graduate/some postgrad,White,Yes,Married,Other,Seldom,Republican,"$50,000-$75,000",Conservative,2,Part-time employment,3.375,71,4,56,3.333,24,4.3,78,4.375,95,3.778,66,5.25,62,6.25,26,3.25,41,4.65,92,2,11,0,12,0,26,7,64,7,61,14,35,16,73,7,79,20,10,33.333,4,75,70,11,93,4,19,20,86,3.75,25,3.25,22,1.75,17,2.75,15,5,57,5,47,4,100,0.762,12,13712737754.64,94,0.047,67,-0.092,17,None,None,40,61,37,37,5,60,16,75,32,95,2.333,47,3.154,82,4.417,76,3.667,59,2.833,34,3,96,40,81
West,Female,18-29,College graduate/some postgrad,White,Yes,Living with a partner,Agnostic,Never,Democrat,"$30,000-$50,000",Very liberal,2,Unemployed,2.375,33,3.333,22,3.333,24,4,64,4.625,98,3.333,46,3,5,6.083,22,3.333,45,4.45,84,3.333,40,3,88,4,100,8,82,8,71,23,90,5,16,13,94,40,65,66.667,33,100,100,2,23,2,8,13,73,4,40,3.5,32,2.75,55,3.25,29,5,57,8,100,4,100,0.805,34,0.932,44,0.086,77,0.067,50,None,None,40,61,0,7,3.9,7,6,5,31,94,1.167,8,2.231,14,2,7,4.267,89,3.833,87,3,96,0,11
South,Male,18-29,College graduate/some postgrad,White,Yes,Never been married,Protestant,Once a week,Republican,"$75,000-$100,000",Moderate,3,Part-time employment,2.5,37,4,56,4.111,58,3.9,59,4.25,94,3.722,64,5,57,6.167,24,3.667,60,4.1,64,3.333,40,4,100,2,71,4,27,10,92,20,74,11,43,8,83,60,93,66.667,33,100,100,6,58,7,53,6,47,4,40,4.5,83,2.75,55,4,64,6,91,8,100,4,100,0.739,6,0.31,42,0.008,54,0.139,61,0.455,17,40,61,14,9,5.2,71,9,29,9,54,2.5,54,3,70,2.417,15,4.333,92,2.333,12,3,96,20,18
West,Female,50-64,College graduate/some postgrad,Other,Yes,Divorced,Roman Catholic,Once a week,Democrat,"$100,000 or more",Moderate,2,Full-time employment,2.5,37,3.222,18,3.111,17,3.1,18,4.25,94,1.056,1,4.583,44,6.25,26,4,77,4.45,84,3.833,59,1,38,0,26,9,100,4,11,14,35,16,73,0,41,60,93,66.667,33,75,70,7,66,7,53,23,90,4.25,52,4,60,3.25,73,4.5,84,5,57,3,20,4,100,0.865,87,1.404,44,0.49,100,0.133,60,0.898,59,60,77,58,92,5.2,71,12,57,15,72,1.5,18,3.154,82,1.833,4,4.533,96,2.5,18,2,65,60,97
